Title,Author,Year,Type of Prize,url
"the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",['Patrick Modiano'],2014		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2014/summary/
their struggle against the suppression of children and young people and for the right of all children to education,"['Kailash Satyarthi', 'Malala Yousafzai']",2014		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2014/summary/
his analysis of market power and regulation,['Jean Tirole'],2014		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2014/summary/
"the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider","['François Englert', 'Peter Higgs']",2013		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2013/summary/
the development of multiscale models for complex chemical systems,"['Martin Karplus', 'Michael Levitt', 'Arieh Warshel']",2013		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2013/summary/
"their discoveries of machinery regulating vesicle traffic, a major transport system in our cells","['James E. Rothman', 'Randy W. Schekman', 'Thomas C. Südhof']",2013		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2013/summary/
master of the contemporary short story,['Alice Munro'],2013		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2013/summary/
its extensive efforts to eliminate chemical weapons,['Organisation for the Prohibition of Chemical Weapons'],2013		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2013/summary/
their empirical analysis of asset prices,"['Eugene F. Fama', 'Lars Peter Hansen', 'Robert J. Shiller']",2013		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2013/summary/
ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,"['Serge Haroche', 'David J. Wineland']",2012		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2012/summary/
studies of G-protein-coupled receptors,"['Robert J. Lefkowitz', 'Brian Kobilka']",2012		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2012/summary/
the discovery that mature cells can be reprogrammed to become pluripotent,"['Sir John B. Gurdon', 'Shinya Yamanaka']",2012		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2012/summary/
"who with hallucinatory realism merges folk tales, history and the contemporary",['Mo Yan'],2012		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2012/summary/
"ver six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe",['European Union'],2012		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2012/summary/
the theory of stable allocations and the practice of market design,"['Alvin E. Roth', 'Lloyd S. Shapley']",2012		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2012/summary/
the discovery of the accelerating expansion of the Universe through observations of distant supernovae,"['Saul Perlmutter', 'Brian P. Schmidt', 'Adam G. Riess']",2011		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2011/summary/
the discovery of quasicrystals,['Dan Shechtman'],2011		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2011/summary/
his discovery of the dendritic cell and its role in adaptive immunity,"['Bruce A. Beutler', 'Jules A. Hoffmann']",2011		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2011/summary/
"because, through his condensed, translucent images, he gives us fresh access to reality",['Tomas Tranströmer'],2011		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2011/summary/
their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,"['Ellen Johnson Sirleaf', 'Leymah Gbowee', 'Tawakkol Karman']",2011		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2011/summary/
their empirical research on cause and effect in the macroeconomy,"['Thomas J. Sargent', 'Christopher A. Sims']",2011		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2011/summary/
groundbreaking experiments regarding the two-dimensional material graphene,"['Andre Geim', 'Konstantin Novoselov']",2010		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2010/summary/
palladium-catalyzed cross couplings in organic synthesis,"['Richard F. Heck', 'Ei-ichi Negishi', 'Akira Suzuki']",2010		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2010/summary/
the development of in vitro fertilization,['Robert G. Edwards'],2010		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2010/summary/
"his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",['Mario Vargas Llosa'],2010		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2010/summary/
his long and non-violent struggle for fundamental human rights in China,['Liu Xiaobo'],2010		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2010/summary/
their analysis of markets with search frictions,"['Peter A. Diamond', 'Dale T. Mortensen', 'Christopher A. Pissarides']",2010		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2010/summary/
undational discoveries and inventions that enable machine learning with artificial neural networks,"['John J. Hopfield', 'Geoffrey Hinton']",2024		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2024/summary/
protein structure prediction,['David Baker'],2024		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2024/summary/
the discovery of microRNA and its role in post-transcriptional gene regulation,"['Victor Ambros', 'Gary Ruvkun']",2024		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2024/summary/
her intense poetic prose that confronts historical traumas and exposes the fragility of human life,['Han Kang'],2024		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2024/summary/
its efforts to achieve a world free of nuclear weapons and for demonstrating through witness testimony that nuclear weapons must never be used again,['Nihon Hidankyo'],2024		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2024/summary/
studies of how institutions are formed and affect prosperity,"['Daron Acemoglu', 'Simon Johnson', 'James A. Robinson']",2024		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2024/summary/
experimental methods that generate attosecond pulses of light for the study of electron dynamics in matter,"['Pierre Agostini', 'Ferenc Krausz', 'Anne L’Huillier']",2023		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2023/summary/
the discovery and synthesis of quantum dots,"['Moungi Bawendi', 'Louis Brus', 'Aleksey Yekimov']",2023		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2023/summary/
their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,"['Katalin Karikó', 'Drew Weissman']",2023		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2023/summary/
his innovative plays and prose which give voice to the unsayable,['Jon Fosse'],2023		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2023/summary/
her fight against the oppression of women in Iran and her fight to promote human rights and freedom for all,['Narges Mohammadi'],2023		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2023/summary/
having advanced our understanding of women’s labour market outcomes,['Claudia Goldin'],2023		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2023/summary/
"experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science","['Alain Aspect', 'John Clauser', 'Anton Zeilinger']",2022		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2022/summary/
the development of click chemistry and bioorthogonal chemistry,"['Carolyn Bertozzi', 'Morten Meldal', 'K. Barry Sharpless']",2022		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2022/summary/
his discoveries concerning the genomes of extinct hominins and human evolution,['Svante Pääbo'],2022		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2022/summary/
"the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",['Annie Ernaux'],2022		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2022/summary/
"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy","['Ales Bialiatski', 'Memorial', 'Center for Civil Liberties']",2022		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2022/summary/
esearch on banks and financial crises,"['Ben Bernanke', 'Douglas Diamond', 'Philip Dybvig']",2022		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2022/summary/
the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,"['Syukuro Manabe', 'Klaus Hasselmann']",2021		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2021/summary/
the development of asymmetric organocatalysis,"['Benjamin List', 'David W.C. MacMillan']",2021		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2021/summary/
their discoveries of receptors for temperature and touch,"['David Julius', 'Ardem Patapoutian']",2021		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2021/summary/
his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,['Abdulrazak Gurnah'],2021		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2021/summary/
"their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace","['Maria Ressa', 'Dmitry Muratov']",2021		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2021/summary/
their methodological contributions to the analysis of causal relationships,['David Card'],2021		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2021/summary/
the discovery of a supermassive compact object at the centre of our galaxy,['Roger Penrose'],2020		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2020/summary/
the development of a method for genome editing,"['Emmanuelle Charpentier', 'Jennifer A. Doudna']",2020		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2020/summary/
the discovery of Hepatitis C virus,"['Harvey J. Alter', 'Michael Houghton', 'Charles M. Rice']",2020		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2020/summary/
her unmistakable poetic voice that with austere beauty makes individual existence universal,['Louise Glück'],2020		,Literature Nobel prize,https://www.nobelprize.org/prizes/literature/2020/summary/
"its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict",['World Food Programme'],2020		,Prize Nobel prize,https://www.nobelprize.org/prizes/peace/2020/summary/
improvements to auction theory and inventions of new auction formats,"['Paul R. Milgrom', 'Robert B. Wilson']",2020		,Nobel Nobel prize,https://www.nobelprize.org/prizes/economic-sciences/2020/summary/
the discovery of an exoplanet orbiting a solar-type star,['James Peebles'],2019		,Physics Nobel prize,https://www.nobelprize.org/prizes/physics/2019/summary/
the development of lithium-ion batteries,"['John B. Goodenough', 'M. Stanley Whittingham', 'Akira Yoshino']",2019		,Chemistry Nobel prize,https://www.nobelprize.org/prizes/chemistry/2019/summary/
their discoveries of how cells sense and adapt to oxygen availability,"['William G. Kaelin Jr', 'Sir Peter J. Ratcliffe', 'Gregg L. Semenza']",2019		,Medicine Nobel prize,https://www.nobelprize.org/prizes/medicine/2019/summary/
